id,firmano,bolumid,frmid,kont,konttr,konten,yetkialan,sfirmano,havuz,deguser,degtarsaat,olususer,olustarsaat,anafrmid,fat_fis_kont_id,Modul,kont_menu,Rap_id
159,,2,7,tbtnPreview,Ön İzleme,,,,,,,,,,,,,
160,,2,7,tbtnPrint,Print,,,,,,,,,,,,,
161,,2,7,tbtnDesigner,Dizayn,,,,,,,,,,,,,
162,,2,7,ToolButton6,Excel,,,,,,,,,,,,,
163,,2,7,ToolButton7,Grup Kapa,,,,,,,,,,,,,
164,,2,7,ToolButton1,Başlangıç Ayarı,,,,,,,,,,,,,
165,,2,7,ToolButton2,Genişlik Ayarı,,,,,,,,,,,,,
166,,2,7,ToolButton3,Toolbutton3,,,,,,,,,,,,,
167,,2,7,yenile,Yenile,,,,,,,,,,,,,
168,,2,7,buthrk,Hareket Dökümü,,True,,,,,,,,,,,
169,,2,7,butfat,Fatura,,True,,,,,,,,,,,
170,,2,7,butcik,Çıkış,,,,,,,,,,,,,
171,,2,7,butyeni,Yeni Kart,,True,,,,,,,,,,YaniTank1,
172,,2,7,butbildeg,Bilgi Değiştir,,True,,,,,,,,,,BilgiDeitir1,
173,,2,7,YaniTank1,Yeni Kart,,False,,,,,,,,,,,
174,,2,7,Bilgincele1,Bilgi İncele,,,,,,,,,,,,,
175,,2,7,BilgiDeitir1,Bilgi Değiştir,,False,,,,,,,,,,,
176,,2,7,HareketDkm1,Hareket Dökümü,,True,,,,,,,,,,,
177,,2,7,FAtura1,Fatura,,True,,,,,,,,,,,
178,,2,7,N1,-,,,,,,,,,,,,,
179,,2,7,ankSil1,Kart Sil,,True,,,,,,,,,,,
180,,2,7,SilinmiKartGeriAl1,Silinmiş Kartı Geri Al,,True,,,,,,,,,,,
181,,2,7,N2,-,,,,,,,,,,,,,
182,,2,7,Silinmi1,Silinmiş Kayıtları Göster,,True,,,,,,,,,,,
183,,2,8,tbtnPageSetup,Sayfa Ayarı,,,,,,,,,,,,,
184,,2,8,tbtnPreview,Ön İzleme,,,,,,,,,,,,,
185,,2,8,tbtnPrint,Print,,,,,,,,,,,,,
186,,2,8,tbtnDesigner,Dizayn,,,,,,,,,,,,,
187,,2,8,ToolButton6,Excel,,,,,,,,,,,,,
188,,2,8,ToolButton7,Grup Kapa,,,,,,,,,,,,,
189,,2,8,ToolButton11,Başlangıç Ayarı,,,,,,,,,,,,,
190,,2,8,ToolButton1,Genişlik Ayarı,,,,,,,,,,,,,
191,,2,8,ToolButton2,ToolButton2,,,,,,,,,,,,,
192,,2,8,yenile,Yenile,,,,,,,,,,,,,
193,,2,8,harici_btn,Harici İşlem,,True,,,,,,,,,,,
194,,2,8,butcik,Çıkış,,,,,,,,,,,,,
195,,2,8,butyeni,Yeni Tank,,True,,,,,,,,,,,
196,,2,8,cxButton3,Tank Transfer,,True,,,,,,,,,,,
197,,2,8,cxButton4,Ölçüm - Fire,,True,,,,,,,,,,,
198,,2,8,butbildeg,Bilgi Değiştir,,True,,,,,,,,,,,
199,,2,8,buthrk,Hareket Dökümü,,True,,,,,,,,,,,
200,,2,8,YaniTank1,Yeni Tank,,True,,,,,,,,,,,
201,,2,8,Bilgincele1,Bilgi İncele,,,,,,,,,,,,,
202,,2,8,BilgiDeitir1,Bilgi Değiştir,,True,,,,,,,,,,,
203,,2,8,HareketDkm1,Hareket Dökümü,,True,,,,,,,,,,,
204,,2,8,ankTransfer1,Tank Transfer,,True,,,,,,,,,,,
205,,2,8,Fire1,Fire,,True,,,,,,,,,,,
206,,2,8,Harisilem,Harici İşlem,,True,,,,,,,,,,,
207,,2,8,N1,-,,,,,,,,,,,,,
208,,2,8,ankSil1,Tank Sil,,True,,,,,,,,,,,
209,,2,8,SilinmiKartGeriAl1,Silinmiş Kartı Geri Al,,True,,,,,,,,,,,
210,,2,8,N2,-,,,,,,,,,,,,,
211,,2,8,Silinmi1,Silinmiş Kayıtları Göster,,True,,,,,,,,,,,
212,,2,9,ToolButton2,Grup Ekle,,,,,,,,,,,,,
213,,2,9,ToolButton16,Grup Düzelt,,,,,,,,,,,,,
214,,2,9,ToolButton3,Grup Sil,,True,,,,,,,,,,,
215,,2,9,ToolButton1,Grup Kapa,,,,,,,,,,,,,
216,,2,9,tbtnFullCollapse,Grup Kapa,,,,,,,,,,,,,
217,,2,9,tbtnFullExpand,Grup Aç,,,,,,,,,,,,,
218,,2,9,ToolButton4,ToolButton4,,,,,,,,,,,,,
219,,2,9,tbtnPageSetup,Sayfa Ayarı,,,,,,,,,,,,,
220,,2,9,tbtnPreview,Ön Izleme,,,,,,,,,,,,,
221,,2,9,tbtnPrint,Print,,,,,,,,,,,,,
222,,2,9,tbtnDesigner,Dizayn,,,,,,,,,,,,,
223,,2,9,ToolButton6,Excel,,,,,,,,,,,,,
224,,2,9,ToolButton7,Grup Kapa,,,,,,,,,,,,,
225,,2,9,ToolButton24,Başlangıç Ayarı,,,,,,,,,,,,,
226,,2,9,ToolButton25,Genişlik Ayarı,,,,,,,,,,,,,
227,,2,9,ToolButton26,ToolButton26,,,,,,,,,,,,,
228,,2,9,yenile,Yenile,,,,,,,,,,,,,
229,,2,9,cxButton2,Veresiye Fiş İşlemleri,,True,,,,,,,,,,,
230,,2,9,cxButton3,Litre Takibi,,True,,,,,,,,,,,
231,,2,9,b_a_dekont,B / A  Dekont,,True,,,,,,,,,,BADekont1,
232,,2,9,butfat,Fatura,,True,,,,,,,,,,,
