Id,Firmano,EBelgeTipId,EntegratorId,EntegratorSeri,EntegratorBayiNo,Sil,OlusUser,OlusTarSaat,DegUser,DegTarSaat
1,0,1,,,,False,AKTARIM,2020-08-08 22:11:56.503000,,
2,0,1,,,,False,AKTARIM,2020-08-08 22:11:56.540000,,
3,0,1,,,,False,AKTARIM,2020-08-08 22:11:56.557000,,
