id,firmano,yetkiid,bolumid,frmid,kontid,havuz,deguser,degtarsaat,olususer,olustarsaat,Modul,Rap_id
165,,2,2,14,435,,,,,,,0
166,,2,2,14,437,,,,,,,0
167,,2,2,14,438,,,,,,,0
168,,2,2,14,440,,,,,,,0
169,,2,2,14,1341,,,,,,,0
170,,2,2,15,455,,,,,,,0
171,,2,2,15,456,,,,,,,0
172,,2,2,15,457,,,,,,,0
173,,2,2,15,458,,,,,,,0
174,,2,2,15,460,,,,,,,0
175,,2,2,15,461,,,,,,,0
176,,2,2,15,463,,,,,,,0
177,,2,2,15,464,,,,,,,0
178,,2,2,15,466,,,,,,,0
179,,2,2,15,1342,,,,,,,0
180,,2,2,16,469,,,,,,,0
181,,2,2,16,484,,,,,,,0
182,,2,2,16,486,,,,,,,0
183,,2,2,16,487,,,,,,,0
184,,2,2,16,488,,,,,,,0
185,,2,2,16,489,,,,,,,0
186,,2,2,16,490,,,,,,,0
187,,2,2,16,492,,,,,,,0
188,,2,2,16,493,,,,,,,0
189,,2,2,16,494,,,,,,,0
190,,2,2,16,495,,,,,,,0
191,,2,2,16,497,,,,,,,0
192,,2,2,16,498,,,,,,,0
193,,2,2,16,500,,,,,,,0
194,,2,2,16,1343,,,,,,,0
195,,2,2,49,1300,,,,,,,0
196,,2,2,49,1301,,,,,,,0
197,,2,2,50,1302,,,,,,,0
198,,2,2,50,1303,,,,,,,0
199,,2,2,50,1304,,,,,,,0
200,,2,2,51,1306,,,,,,,0
201,,2,2,51,1307,,,,,,,0
202,,2,2,52,1308,,,,,,,0
203,,2,2,52,1309,,,,,,,0
204,,2,2,52,1310,,,,,,,0
205,,2,2,53,1311,,,,,,,0
206,,2,2,53,1312,,,,,,,0
207,,2,2,53,1313,,,,,,,0
208,,2,2,54,1314,,,,,,,0
209,,2,2,54,1315,,,,,,,0
210,,2,2,54,1316,,,,,,,0
211,,2,2,55,1317,,,,,,,0
212,,2,2,55,1318,,,,,,,0
213,,2,2,55,1319,,,,,,,0
214,,2,2,56,1320,,,,,,,0
215,,2,2,56,1321,,,,,,,0
216,,2,2,56,1322,,,,,,,0
217,,2,2,57,1323,,,,,,,0
218,,2,2,57,1324,,,,,,,0
219,,2,2,57,1325,,,,,,,0
220,,2,2,58,1326,,,,,,,0
221,,2,2,58,1327,,,,,,,0
222,,2,2,58,1328,,,,,,,0
223,,2,2,59,1329,,,,,,,0
224,,2,2,59,1330,,,,,,,0
225,,2,2,84,1429,,,,,,,0
226,,2,2,84,1422,,,,,,,0
227,,2,2,84,1423,,,,,,,0
228,,2,2,84,1424,,,,,,,0
229,,2,2,84,1425,,,,,,,0
230,,2,2,84,1426,,,,,,,0
231,,2,2,84,1427,,,,,,,0
232,,2,2,84,1428,,,,,,,0
233,,2,2,84,1430,,,,,,,0
234,,2,2,84,1431,,,,,,,0
235,,2,2,84,1432,,,,,,,0
236,,2,2,84,1433,,,,,,,0
237,,2,2,84,1434,,,,,,,0
238,,2,2,84,1435,,,,,,,0
239,,2,2,84,1436,,,,,,,0
240,,2,2,84,1437,,,,,,,0
241,,2,2,84,1438,,,,,,,0
242,,2,2,84,1467,,,,,,,0
243,,2,2,86,1439,,,,,,,0
244,,2,2,86,1441,,,,,,,0
245,,2,2,86,1442,,,,,,,0
246,,2,2,86,1443,,,,,,,0
247,,2,2,86,1444,,,,,,,0
248,,2,2,86,1446,,,,,,,0
249,,2,2,86,1447,,,,,,,0
250,,2,2,86,1448,,,,,,,0
251,,2,2,86,1449,,,,,,,0
252,,2,2,86,1450,,,,,,,0
253,,2,2,86,1455,,,,,,,0
254,,2,2,86,1456,,,,,,,0
255,,2,2,87,1440,,,,,,,0
256,,2,2,87,1445,,,,,,,0
257,,2,2,87,1451,,,,,,,0
