id,kod,ad,deguser,degtarsaat,olususer,olustarsaat
1,CIR,CİRO,,,,
2,POR,PORTFÖYDE,,,,
3,TAK,TAKASTA,,,,
4,TGR,TAKASTAN GERİ AL,,,,
5,CGR,CİRODAN GERİ AL,,,,
6,PID,PORTFÖYDEN İADE,,,,
7,PKR,PORTFÖYDEN KARŞILIKSIZ,,,,
8,TKR,TAKASTAN KARŞILIKSIZ,,,,
9,CKR,CİRODAN KARŞILIKSIZ,,,,
10,KGR,KARŞILIKSIZDAN GERİ AL,,,,
11,ELT,ELDEN TAHSİL,,,,
12,TKT,TAKASTAN TAHSİL,,,,
13,KSN,KESİLEN,,,,
14,ODE,KESİLEN ÇEK ÖDEME,,,,
15,OTI,ÖDEME / TAHSİL İPTAL,,,,
16,IGR,İADE GERİ AL,,,,
