id,kod,firmano,dataok,deptip,ad,perkod,drm,olususer,olustarsaat,deguser,degtarsaat,sil,Tip_id
1,P0001,0,0,markt,PROMOSYON DEPOSU,,Aktif,SİSTEM,2020-08-08 22:11:39.263000,SİSTEM YÖNETİCİSİ,2021-06-25 12:16:57,1,
2,M0001,0,0,markt,MARKET MERKEZ DEPO,,Aktif,SİSTEM,2021-06-25 12:13:06,,,0,2
